,Name,Parallel computing pscore 5 years,Parallel computing year 5 years,Parallel computing year combined 5 years
0,Stanford University,85197.6305556,352.573898115,8429768.78243
1,University of California-Berkeley,152149.829365,2033.25015141,98525380.356
2,Massachusetts Institute of Technology,114504.085714,779.130492834,15615034.5746
3,Carnegie Mellon University,103724.234524,373.651876468,6746690.00182
4,University of Illinois at Urbana-Champaign,280107.429762,9213.57362391,1029876029.77
5,Princeton University,44789.4047619,494.674552677,13809658.7606
6,Cornell University,65799.8583333,337.777611544,9108278.5005
7,University of California-Santa Barbara,116596.709524,1807.27563924,68997225.023
8,University of North Carolina at Chapel Hill,3838.08333333,18.2447457775,73614.2634996
9,University of California-Los Angeles,132968.997619,597.201497235,17450941.1075
10,University of Texas at Austin,88367.4107143,1849.59926022,67949208.5622
11,Georgia Institute of Technology,244107.572619,12130.7048839,1156367067.77
12,Michigan State University,98960.3380952,2845.67230056,111406012.995
13,University of Maryland College Park,20331.547619,766.835202621,21359922.4412
14,University of California-San Diego,97327.7190476,1467.92562892,34427134.0519
15,University of Michigan-Ann Arbor,4888.01190476,0.0,0.0
16,University of Southern California,210575.315476,6474.17956589,896140023.68
17,University of Pennsylvania,38405.85,41.1393445096,723525.134963
18,University of Massachusetts Amherst,127796.480952,1969.03429982,111559586.904
19,University of Wisconsin-Madison,64594.0047619,633.383354408,19000293.0424
20,Harvard University,25069.6,32.003962161,429197.975108
21,University of Rochester,34554.9428571,657.525322777,15386781.5277
22,University of Washington,55220.7992063,602.534448856,13942081.1113
23,Purdue University Main Campus,120299.460317,1927.11166165,51556810.8093
24,Duke University,63237.9638889,625.525753235,11299848.036
25,New York University,56557.747619,353.909309674,4627448.86781
26,Tufts University,6058.16666667,5.28239587657,7685.96595549
27,State University of New York at Stony Brook,23235.5,128.155332052,2542200.96526
28,Louisiana State University and Agricultural and Mechanical College,26020.4166667,712.593964581,11981146.726
29,University of California-Riverside,149741.238889,4248.05070897,359727650.029
30,Penn State University,287.0,0.0,0.0
31,University of Minnesota-Twin Cities,5089.0,33.3214749954,248158.004305
32,Brown University,20281.8833333,81.0713356642,1323701.50904
33,Rice University,39425.9912698,1191.57842956,44391607.3635
34,University of California-Irvine,113850.422619,2320.93603228,106995099.221
35,Ohio State University Main Campus,9152.33333333,63.2805193356,691765.880856
36,Yale University,46078.8833333,130.716508321,2095492.07645
37,Arizona State University,93386.2583333,716.58246075,19969866.6253
38,University of Nebraska - Lincoln,10834.0,311.819232458,4505743.21053
39,Columbia University In The City of New York,904.833333333,0.0,0.0
40,University of Connecticut,46618.25,662.026922923,18370932.2769
41,University of California-Davis,122407.266667,1030.29302504,36816851.9246
42,State University of New York at Buffalo,12226.1666667,93.8981947268,1154582.31897
43,Texas A & M University,4287.16666667,44.3403882338,362425.004041
44,University of Oklahoma Norman Campus,45388.0833333,2022.07282788,80626159.5034
45,University of Pittsburgh Pittsburgh Campus,1910.83333333,21.3367583189,118205.641087
46,University of Utah,43318.3166667,921.902062605,31246275.5613
47,University of California-Santa Cruz,24281.7,337.438120087,5479368.73145
48,Indiana University at Bloomington,35401.8404762,626.892213143,36881924.2274
49,University of Virginia,83412.0333333,3940.01356411,239874923.283
50,University of South Florida,31376.0833333,197.730097059,1794956.96989
51,University of Arizona,26274.4333333,1052.80046754,29758329.6604
52,Virginia Polytechnic Institute and State University,8057.16666667,252.414189381,3195948.071
53,University of Chicago,53803.0404762,1314.66985455,96582358.3946
54,Washington University In St. Louis,21239.2833333,409.220126271,12101457.5741
55,Georgia State University,83299.85,4718.4929938,305012369.613
56,North Carolina State University,109594.116667,3643.20013679,142431814.886
57,University of Tennessee,119466.554762,3152.26726969,470780977.665
58,Johns Hopkins University,23520.5083333,88.9039012086,1518564.13598
59,Vanderbilt University,37855.4309524,1446.48193292,70828724.0472
60,Florida Institute of Technology,12180.3333333,82.74423498,581051.038275
61,University of Colorado at Boulder,5083.23333333,12.9705478764,62816.3633656
62,Lehigh University,13109.1666667,94.5718012883,835981.747939
63,University of Central Florida,60846.347619,1397.79035016,57952452.4232
64,University of Kentucky,45740.497619,885.936829439,37242216.8394
65,Florida State University,74813.35,3697.09107891,145871748.118
66,Oklahoma State University Main Campus,18933.0833333,567.146925928,16039285.4217
67,Washington State University,49287.8666667,2353.02476168,110773051.473
68,Iowa State University,28072.3333333,174.588633006,1750737.45
69,Northwestern University,126389.708333,2787.58307134,441780284.678
70,Dartmouth College,28705.5833333,187.600169474,2188263.07205
71,Boston University,41018.4642857,275.176420089,4434032.10097
72,University of Georgia,12369.6,75.1270975173,808416.141872
73,Rutgers The State University of New Jersey New Brunswick Campus,7845.25,262.69844118,8726185.08707
74,University of Maryland Baltimore County,8685.5,59.0565839571,394874.273709
75,California Institute of Technology,38928.3833333,230.661129326,6292773.24863
76,University of Delaware,40556.9444444,2193.11299152,80975549.6555
77,University of Texas at Dallas,157819.37619,2327.90914817,78200506.5939
78,University of Cincinnati Main Campus,47524.6666667,1743.2549961,220842685.782
79,Kent State University Main Campus,28650.1666667,2583.43683966,77143315.191
80,Oregon State University,56211.2928571,1408.32121043,40451074.5073
81,University of Iowa,20792.1809524,590.752940003,26785205.0742
82,Rensselaer Polytechnic Institute,44440.5583333,964.005658303,31091478.1366
83,University of Florida,131185.153571,4526.85529578,296275035.678
84,Northeastern University,28405.3333333,48.3540657799,322253.77181
85,Illinois Institute of Technology,123324.166667,6569.75612794,566468010.4
86,Auburn University,24529.75,922.183548839,39753057.8328
87,Wayne State University,67059.3690476,4205.28934653,282597341.773
88,University of Oregon,46948.5404762,989.02615266,38228451.0929
89,Wright State University Main Campus,15031.5,128.047450117,1168401.98544
90,University of Illinois at Chicago,54054.8333333,1034.59607703,33599161.7976
91,Brandeis University,2061.23333333,3.09858369764,11353.2106681
92,North Dakota State University Main Campus,13737.75,30.0531169115,285264.662844
93,City University of New York Grad. Center,1723.5,29.6887759579,126800.762116
94,State University of New York at Binghamton,10914.6666667,71.5529616862,897560.351392
95,University of North Carolina at Charlotte,23087.575,597.588341695,14974423.2311
96,Case Western Reserve University,31073.9,225.773437129,3578703.83671
97,University of New Mexico Main Campus,1541.0,0.0,0.0
98,Syracuse University Main Campus,45966.5833333,300.62339073,4504694.30498
99,New Mexico State University Main Campus,311.0,5.85620424954,14646.3668281
100,New Jersey Institute of Technology,48.0,0.0,0.0
101,University of South Carolina Columbia,17439.9642857,105.498265242,597959.097654
102,College of William and Mary,44537.7166667,941.99399861,19268161.0802
103,Florida International University,46045.6416667,708.588225052,14275576.1826
104,George Washington University,45515.9333333,1176.24569173,29639747.4224
105,Old Dominion University,72267.9166667,3481.84457413,493389114.429
106,Texas Tech University,13366.5,220.166437294,8601214.64893
107,University of Kansas,37752.2444444,221.026614489,2023549.37546
108,University of Arkansas Main Campus,13496.0333333,424.513028396,6862003.12403
109,University of Alabama,40596.5,253.721283227,10066496.1539
110,Mississippi State University,20629.9285714,1346.62850148,54310800.1062
111,University of Houston,40157.9166667,1708.01328245,31232168.1926
112,University of North Texas,20518.5,359.485272946,6409985.72875
113,Clemson University,32132.2,841.337905086,36847232.2885
114,State University of New York at Albany,4862.58571429,26.8440145429,334758.754616
115,Brigham Young University,17363.2916667,298.874141082,6767307.95078
116,Kansas State University,9113.11666667,163.021388891,1992109.93963
117,University of Alabama In Huntsville,2371.48333333,0.0,0.0
118,University of Memphis,16846.9690476,250.241975279,5400148.40581
119,Temple University,21091.0,73.869367534,1168579.20117
120,University of Louisiana at Lafayette,41939.6666667,2042.39718207,123570298.016
121,University of Alabama at Birmingham,5652.75,14.5404136618,54092.4226896
122,Oregon Health and Science University,1046.0,0.0,0.0
123,Western Michigan University,11491.5,101.778858974,1563052.20749
124,Southern Methodist University,11793.0,5.07755520069,57838.4312911
125,University of Southern Mississippi,5104.5,4.48739341124,20534.3122498
126,Universidade de Brasília,17520.5833333,926.952296181,28566246.2735
127,Universidade Federal de Uberlândia,2326.83333333,0.0,0.0
128,USP - São Carlos,17993.9333333,58.316348558,417281.440977
129,Universidade de São Paulo,7351.5,97.7697342831,870791.019041
130,Universidade do Vale do Rio dos Sinos,1470.16666667,13.1518200521,52594.1283882
131,Universidade de Fortaleza,1955.83333333,0.0,0.0
132,Universidade Federal de Campina Grande,8032.56666667,173.210958142,1295416.16774
133,Universidade Federal da Bahia,2674.33333333,18.2124870136,53883.9929624
134,Universidade Federal do Amazonas,3911.46666667,28.1723775017,151764.636629
135,Universidade Federal de Minas Gerais,22791.0,241.343352465,3511627.09335
136,Universidade Federal do Espírito Santo,24485.9166667,1271.88670087,93575261.8127
137,Universidade Federal de Pernambuco,17157.9833333,52.5980972115,373850.323607
138,Universidade Federal de Mato Grosso do Sul,2760.16666667,61.2598187748,228307.4113
139,Universidade Federal de São Carlos,8883.13333333,94.7672757236,1290053.69065
140,Universidade Federal de Santa Catarina,9955.83333333,177.09576042,1476004.77612
141,Universidade Federal do Rio Grande de Norte,4749.68333333,23.6943962003,86251.6850764
142,Universidade Federal do Rio de Janeiro,19356.5,100.15422106,877281.264112
143,Pontifícia Universidade Católica do Rio Grande do Sul,13521.25,325.79799201,4978490.78064
144,Pontifícia Universidade Católica do Rio de Janeiro,8834.68333333,43.5175389479,258335.951632
145,Pontifícia Universidade Católica do Paraná,3893.41666667,0.0,0.0
146,Universidade Estadual de Campinas,32321.1333333,67.5668314995,354777.016085
147,Universidade Federal do Ceará,4575.61666667,41.0867102606,174243.951101
148,Universidade Federal do Rio Grande do Sul,33345.6166667,328.789340934,7402330.91425
149,Universidade Federal do Paraná,5567.4,18.0363510174,88287.1233224
150,Universidade Federal Fluminense,12913.0166667,143.97304743,1500219.14263
151,Imperial College London,63316.7702381,498.100033849,11453407.2278
152,University of Oxford,19722.7333333,11.0947618255,34710.1410024
153,University of Cambridge,37031.7309524,54.4086947677,243400.588538
154,ETH Zurich,57511.1666667,1125.25021943,54360543.9138
155,École Polytechnique ParisTech,18863.35,190.796823466,2053179.22787
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
